ABDELAL01|Alaa|Abdelnaby|1990|1994|240|1968-06-24|ALEXAGA01|Gary|Alexander|1993|1993|240|1969-11-01
ABDELAL01|Alaa|Abdelnaby|1990|1994|240|1968-06-24|ANDERER01|Eric|Anderson|1992|1993|220|1970-05-26
ABDELAL01|Alaa|Abdelnaby|1990|1994|240|1968-06-24|BLACKAL01|Alex|Blackwell|1992|1992|250|1970-06-27
ABDELAL01|Alaa|Abdelnaby|1990|1994|240|1968-06-24|BLANTRI01|Ricky|Blanton|1992|1992|215|1966-04-21
ABDELAL01|Alaa|Abdelnaby|1990|1994|240|1968-06-24|BROOKKE01|Kevin|Brooks|1991|1993|200|1969-10-12
ABDELAL01|Alaa|Abdelnaby|1990|1994|240|1968-06-24|BROWNMY01|Myron|Brown|1991|1991|180|1969-11-03
ABDELAL01|Alaa|Abdelnaby|1990|1994|240|1968-06-24|BURNSEV01|Evers|Burns|1993|1993|260|1971-08-24
ABDELAL01|Alaa|Abdelnaby|1990|1994|240|1968-06-24|CALIPDE01|Demetrius|Calip|1991|1991|165|1969-11-18
ABDELAL01|Alaa|Abdelnaby|1990|1994|240|1968-06-24|CAMBRDE01|Dexter|Cambridge|1992|1992|224|1970-01-29
ABDELAL01|Alaa|Abdelnaby|1990|1994|240|1968-06-24|COOPEDU01|Duane|Cooper|1992|1993|185|1969-06-25
ABDELAL01|Alaa|Abdelnaby|1990|1994|240|1968-06-24|COPATO01|Tom|Copa|1991|1991|275|1964-10-30
ABDELAL01|Alaa|Abdelnaby|1990|1994|240|1968-06-24|CORCHCH01|Chris|Corchiani|1991|1993|185|1968-03-28
ABDELAL01|Alaa|Abdelnaby|1990|1994|240|1968-06-24|CURCIRA01|Radisav|Curcic|1992|1992|275|1965-09-26
ABDELAL01|Alaa|Abdelnaby|1990|1994|240|1968-06-24|DAVISBR02|Brian|Davis|1993|1993|200|1970-06-21
ABDELAL01|Alaa|Abdelnaby|1990|1994|240|1968-06-24|EDDIEPA01|Patrick|Eddie|1991|1991|240|1967-12-27
